code,name,type,lng,lat,district
00136,Phúc Lợi,Phường,21 02 31N, 105 55 25E,004
00139,Bồ Đề,Phường,21 02 09N, 105 52 10E,004
00142,Sài Đồng,Phường,21 02 05N, 105 54 38E,004
00145,Long Biên,Phường,21 01 09N, 105 53 10E,004
00148,Thạch Bàn,Phường,21 01 20N, 105 55 00E,004
00151,Phúc Đồng,Phường,21 02 27N, 105 53 38E,004
00154,Cự Khối,Phường,21 00 24N, 105 53 59E,004
00157,Nghĩa Đô,Phường,21 03 00N, 105 47 58E,005
00160,Nghĩa Tân,Phường,21 02 53N, 105 47 09E,005
00163,Mai Dịch,Phường,21 02 09N, 105 46 23E,005
00166,Dịch Vọng,Phường,21 02 06N, 105 47 28E,005
00167,Dịch Vọng Hậu,Phường,21 02 10N, 105 47 00E,005
00169,Quan Hoa,Phường,21 02 10N, 105 47 56E,005
00172,Yên Hoà,Phường,21 01 24N, 105 47 28E,005
00175,Trung Hoà,Phường,21 00 37N, 105 47 56E,005
00178,Cát Linh,Phường,21 01 43N, 105 49 33E,006
00181,Văn Miếu,Phường,21 01 38N, 105 50 10E,006
00184,Quốc Tử Giám,Phường,21 01 38N, 105 49 49E,006
00187,Láng Thượng,Phường,21 01 24N, 105 48 10E,006
00190,Ô Chợ Dừa,Phường,21 01 20N, 105 49 18E,006
00193,Văn Chương,Phường,21 01 28N, 105 50 02E,006
00196,Hàng Bột,Phường,21 01 24N, 105 49 43E,006
00199,Láng Hạ,Phường,21 01 03N, 105 48 36E,006
00202,Khâm Thiên,Phường,21 01 14N, 105 50 12E,006
00205,Thổ Quan,Phường,21 01 08N, 105 49 53E,006
00208,Nam Đồng,Phường,21 00 55N, 105 49 43E,006
00211,Trung Phụng,Phường,21 01 02N, 105 50 11E,006
00214,Quang Trung,Phường,21 00 46N, 105 49 24E,006
00217,Trung Liệt,Phường,21 00 42N, 105 49 15E,006
00220,Phương Liên,Phường,21 00 45N, 105 50 07E,006
00223,Thịnh Quang,Phường,21 00 35N, 105 48 57E,006
00226,Trung Tự,Phường,21 00 26N, 105 49 50E,006
00229,Kim Liên,Phường,21 00 27N, 105 50 00E,006
00232,Phương Mai,Phường,21 00 14N, 105 50 10E,006
00235,Ngã Tư Sở,Phường,21 00 22N, 105 48 54E,006
00238,Khương Thượng,Phường,21 00 11N, 105 49 36E,006
00241,Nguyễn Du,Phường,21 01 10N, 105 50 36E,007
00244,Bạch Đằng,Phường,21 00 57N, 105 51 49E,007
00247,Phạm Đình Hổ,Phường,21 00 58N, 105 51 21E,007
00250,Bùi Thị Xuân,Phường,21 00 58N, 105 50 54E,007
00253,Ngô Thì Nhậm,Phường,21 01 01N, 105 51 05E,007
00256,Lê Đại Hành,Phường,21 00 48N, 105 50 40E,007
00259,Đồng Nhân,Phường,21 00 46N, 105 51 17E,007
00262,Phố Huế,Phường,21 00 44N, 105 51 06E,007
00265,Đống Mác,Phường,21 00 44N, 105 51 27E,007
00268,Thanh Lương,Phường,21 00 26N, 105 52 11E,007
00271,Thanh Nhàn,Phường,21 00 25N, 105 51 15E,007
00274,Cầu Dền,Phường,21 00 25N, 105 50 53E,007
00277,Bách Khoa,Phường,21 00 18N, 105 50 38E,007
00280,Đồng Tâm,Phường,20 59 56N, 105 50 34E,007
00283,Vĩnh Tuy,Phường,20 59 57N, 105 52 05E,007
00286,Bạch Mai,Phường,21 00 04N, 105 51 00E,007
00289,Quỳnh Mai,Phường,21 00 06N, 105 51 28E,007
00292,Quỳnh Lôi,Phường,21 00 04N, 105 51 16E,007
00295,Minh Khai,Phường,20 59 49N, 105 51 16E,007
00298,Trương Định,Phường,20 59 47N, 105 50 47E,007
00301,Thanh Trì,Phường,20 59 43N, 105 53 23E,008
00304,Vĩnh Hưng,Phường,20 59 18N, 105 52 25E,008
00307,Định Công,Phường,20 59 02N, 105 49 37E,008
00310,Mai Động,Phường,20 59 32N, 105 51 47E,008
00313,Tương Mai,Phường,20 59 18N, 105 50 51E,008
00316,Đại Kim,Phường,20 58 33N, 105 49 18E,008
00319,Tân Mai,Phường,20 59 01N, 105 50 51E,008
00322,Hoàng Văn Thụ,Phường,20 59 14N, 105 51 30E,008
00325,Giáp Bát,Phường,20 59 05N, 105 50 28E,008
00328,Lĩnh Nam,Phường,20 58 37N, 105 53 48E,008
00331,Thịnh Liệt,Phường,20 58 31N, 105 50 50E,008
00334,Trần Phú,Phường,20 58 10N, 105 52 55E,008
00337,Hoàng Liệt,Phường,20 57 47N, 105 50 07E,008
00340,Yên Sở,Phường,20 57 56N, 105 52 14E,008
00343,Nhân Chính,Phường,21 00 11N, 105 48 07E,009
00346,Thượng Đình,Phường,21 00 01N, 105 48 51E,009
00349,Khương Trung,Phường,20 59 54N, 105 49 10E,009
00352,Khương Mai,Phường,20 59 43N, 105 49 39E,009
00355,Thanh Xuân Trung,Phường,20 59 48N, 105 48 14E,009
00358,Phương Liệt,Phường,20 59 31N, 105 50 09E,009
00361,Hạ Đình,Phường,20 59 28N, 105 48 10E,009
00364,Khương Đình,Phường,20 59 21N, 105 49 05E,009
00367,Thanh Xuân Bắc,Phường,20 59 40N, 105 47 49E,009
00370,Thanh Xuân Nam,Phường,20 59 18N, 105 47 47E,009
00373,Kim Giang,Phường,20 59 00N, 105 48 41E,009
09538,Nguyễn Trãi,Phường,20 58 14N, 105 46 42E,268
09541,Mộ Lao,Phường,20 58 51N, 105 47 10E,268
09542,Văn Quán,Phường,,268
09544,Vạn Phúc,Phường,20 58 52N, 106 46 12E,268
09547,Yết Kiêu,Phường,20 58 31N, 105 46 30E,268
09550,Quang Trung,Phường,20 58 01N, 105 45 33E,268
09551,La Khê,Phường,,268
09552,Phú La,Phường,,268
09553,Phúc La,Phường,20 58 06N, 105 47 15E,268
09556,Hà Cầu,Phường,20 57 55N, 105 46 34E,268
09562,Yên Nghĩa,Phường,20 57 03N, 106 43 58E,268
09565,Kiến Hưng,Phường,20 57 06N, 105 47 05E,268
09568,Phú Lãm,Phường,20 56 35N, 105 45 06E,268
09571,Phú Lương,Phường,20 56 24N, 105 46 10E,268
09886,Dương Nội,Phường,20 58 50N, 105 44 34E,268
10117,Đồng Mai,Phường,20 55 39N, 105 44 10E,268
10123,Biên Giang,Phường,20 55 32N, 105 43 32E,268
09574,Lê Lợi,Phường,21 08 53N, 105 30 13E,269
09577,Phú Thịnh,Phường,21 09 17N, 105 29 32E,269
09580,Ngô Quyền,Phường,21 08 36N, 105 29 56E,269
09583,Quang Trung,Phường,21 08 05N, 105 30 01E,269
09586,Sơn Lộc,Phường,21 07 18N, 105 29 56E,269
09589,Xuân Khanh,Phường,21 06 53N, 105 26 37E,269
09595,Viên Sơn,Phường,21 08 37N, 105 30 48E,269
09601,Trung Hưng,Phường,21 07 57N, 105 29 25E,269
09607,Trung Sơn Trầm,Phường,21 06 23N, 105 29 32E,269
09592,Đường Lâm,Xã,21 09 19N, 105 28 09E,269
09598,Xuân Sơn,Xã,21 07 54N, 105 26 11E,269
09604,Thanh Mỹ,Xã,21 07 23N, 105 28 19E,269
09610,Kim Sơn,Xã,21 04 59N, 105 27 41E,269
09613,Sơn Đông,Xã,21 04 11N, 105 29 13E,269
09616,Cổ Đông,Xã,21 03 26N, 105 29 45E,269
00376,Sóc Sơn,Thị Trấn,21 15 28N, 105 51 12E,016
00379,Bắc Sơn,Xã,21 21 42N, 105 49 12E,016
00382,Minh Trí,Xã,21 18 09N, 105 45 51E,016
00385,Hồng Kỳ,Xã,21 18 55N, 105 50 49E,016
00388,Nam Sơn,Xã,21 18 36N, 105 48 51E,016
00391,Trung Giã,Xã,21 18 44N, 105 52 43E,016
00394,Tân Hưng,Xã,21 17 55N, 105 54 14E,016
00397,Minh Phú,Xã,21 16 58N, 105 46 27E,016
00400,Phù Linh,Xã,21 16 49N, 105 50 30E,016
00403,Bắc Phú,Xã,21 16 46N, 105 53 59E,016
00406,Tân Minh,Xã,21 16 08N, 105 52 09E,016
00409,Quang Tiến,Xã,21 15 08N, 105 48 54E,016
00412,Hiền Ninh,Xã,21 15 33N, 105 47 19E,016
00415,Tân Dân,Xã,21 15 25N, 105 43 53E,016
00418,Tiên Dược,Xã,21 14 57N, 105 50 41E,016
00421,Việt Long,Xã,21 15 09N, 105 55 10E,016
00424,Xuân Giang,Xã,21 14 44N, 105 53 55E,016
00427,Mai Đình,Xã,21 13 33N, 105 49 45E,016
00430,Đức Hoà,Xã,21 13 50N, 105 52 57E,016
00433,Thanh Xuân,Xã,21 13 31N, 105 45 15E,016
00436,Đông Xuân,Xã,21 12 59N, 105 51 56E,016
00439,Kim Lũ,Xã,21 12 39N, 105 54 19E,016
00442,Phú Cường,Xã,21 12 21N, 105 47 12E,016
00445,Phú Minh,Xã,21 12 11N, 105 49 07E,016
00448,Phù Lỗ,Xã,21 12 11N, 105 51 04E,016
00451,Xuân Thu,Xã,21 11 51N, 105 53 23E,016
00454,Đông Anh,Thị Trấn,21 09 05N, 105 50 39E,017
00457,Xuân Nộn,Xã,21 10 58N, 105 52 05E,017
00460,Thuỵ Lâm,Xã,21 10 38N, 105 53 49E,017
00463,Bắc Hồng,Xã,21 10 39N, 105 48 11E,017
00466,Nguyên Khê,Xã,21 10 36N, 105 50 05E,017
00469,Nam Hồng,Xã,21 09 48N, 105 47 09E,017
00472,Tiên Dương,Xã,21 08 54N, 105 49 49E,017
00475,Vân Hà,Xã,21 09 03N, 105 54 45E,017
00478,Uy Nỗ,Xã,21 08 41N, 105 51 26E,017
00481,Vân Nội,Xã,21 08 46N, 105 48 38E,017
00484,Liên Hà,Xã,21 08 46N, 105 53 37E,017
00487,Việt Hùng,Xã,21 08 27N, 105 52 38E,017
00490,Kim Nỗ,Xã,21 08 14N, 105 47 43E,017
00493,Kim Chung,Xã,21 08 03N, 105 46 27E,017
00496,Dục Tú,Xã,21 06 53N, 105 53 53E,017
00499,Đại Mạch,Xã,21 07 08N, 105 44 53E,017
00502,Vĩnh Ngọc,Xã,21 06 42N, 105 49 27E,017
00505,Cổ Loa,Xã,21 06 49N, 105 51 45E,017
00508,Hải Bối,Xã,21 06 34N, 105 47 48E,017
00511,Xuân Canh,Xã,21 05 47N, 105 50 59E,017
00514,Võng La,Xã,21 06 33N, 105 46 06E,017
00517,Tầm Xá,Xã,21 05 57N, 105 49 59E,017
00520,Mai Lâm,Xã,21 05 27N, 105 53 14E,017
00523,Đông Hội,Xã,21 05 12N, 105 52 02E,017
00526,Yên Viên,Thị Trấn,21 05 10N, 105 54 46E,018
00565,Trâu Quỳ,Thị Trấn,21 00 35N, 105 56 12E,018
00529,Yên Thường,Xã,21 06 18N, 105 54 59E,018
00532,Yên Viên,Xã,21 05 24N, 105 54 32E,018
00535,Ninh Hiệp,Xã,21 04 47N, 105 57 02E,018
00538,Đình Xuyên,Xã,21 04 40N, 105 55 57E,018
00541,Dương Hà,Xã,21 03 53N, 105 55 51E,018
00544,Phù Đổng,Xã,21 03 25N, 105 57 46E,018
00547,Trung Mầu,Xã,21 03 40N, 105 59 10E,018
00550,Lệ Chi,Xã,21 02 59N, 106 00 10E,018
00553,Cổ Bi,Xã,21 01 59N, 105 56 17E,018
00556,Đặng Xá,Xã,21 01 59N, 105 57 46E,018
00559,Phú Thị,Xã,21 01 35N, 105 57 57E,018
00562,Kim Sơn,Xã,21 01 41N, 105 59 28E,018
00568,Dương Quang,Xã,21 00 29N, 105 59 18E,018
00571,Dương Xá,Xã,21 00 09N, 105 57 43E,018
00574,Đông Dư,Xã,20 59 46N, 105 54 45E,018
00577,Đa Tốn,Xã,20 59 08N, 105 56 03E,018
00580,Kiêu Kỵ,Xã,20 58 48N, 105 56 55E,018
00583,Bát Tràng,Xã,20 58 49N, 105 54 51E,018
00586,Kim Lan,Xã,20 57 45N, 105 54 05E,018
00589,Văn Đức,Xã,20 56 30N, 105 53 44E,018
00592,Cầu Diễn,Thị Trấn,21 02 26N, 105 45 45E,019
00595,Thượng Cát,Xã,21 05 44N, 105 44 03E,019
00598,Liên Mạc,Xã,21 05 18N, 105 15 42E,019
00601,Đông Ngạc,Xã,21 05 08N, 105 46 54E,019
00604,Thuỵ Phương,Xã,21 05 03N, 105 46 04E,019
00607,Tây Tựu,Xã,21 04 14N, 105 43 55E,019
00610,Xuân Đỉnh,Xã,21 04 06N, 105 47 24E,019
00613,Minh Khai,Xã,21 03 39N, 105 44 41E,019
00616,Cổ Nhuế,Xã,21 03 37N, 105 46 24E,019
00619,Phú Diễn,Xã,21 03 00N, 105 45 22E,019
00622,Xuân Phương,Xã,21 02 26N, 105 44 28E,019
00625,Mỹ Đình,Xã,21 01 44N, 105 46 02E,019
00628,Tây Mỗ,Xã,21 00 33N, 105 44 29E,019
00631,Mễ Trì,Xã,20 00 26N, 105 46 17E,019
00634,Đại Mỗ,Xã,20 59 54N, 105 45 06E,019
00637,Trung Văn,Xã,20 59 38N, 105 46 47E,019
00640,Văn Điển,Thị Trấn,20 56 58N, 105 50 36E,020
00643,Tân Triều,Xã,20 58 27N, 105 47 51E,020
00646,Thanh Liệt,Xã,20 57 47N, 105 48 40E,020
00649,Tả Thanh Oai,Xã,20 56 09N, 105 48 11E,020
00652,Hữu Hoà,Xã,20 56 49N, 105 47 46E,020
00655,Tam Hiệp,Xã,20 57 04N, 105 49 41E,020
00658,Tứ Hiệp,Xã,20 56 49N, 105 51 11E,020
00661,Yên Mỹ,Xã,20 56 35N, 105 52 25E,020
00664,Vĩnh Quỳnh,Xã,20 55 58N, 105 49 43E,020
00667,Ngũ Hiệp,Xã,20 55 43N, 105 51 30E,020
00670,Duyên Hà,Xã,20 55 32N, 105 52 36E,020
00673,Ngọc Hồi,Xã,20 55 11N, 105 50 31E,020
00676,Vạn Phúc,Xã,20 55 06N, 105 53 47E,020
00679,Đại Áng,Xã,20 54 42N, 105 49 06E,020
00682,Liên Ninh,Xã,20 54 35N, 105 51 07E,020
00685,Đông Mỹ,Xã,20 54 58N, 105 52 34E,020
08973,Chi Đông,Thị Trấn,,250
08989,Quang Minh,Thị Trấn,21 12 00N, 105 45 58E,250
08974,Đại Thịnh,Xã,21 11 14N, 105 42 55E,250
08977,Kim Hoa,Xã,21 12 56N, 105 44 14E,250
08980,Thạch Đà,Xã,21 10 13N, 105 40 18E,250
08983,Tiến Thắng,Xã,21 13 28N, 105 04 09E,250
08986,Tự Lập,Xã,21 12 40N, 105 39 29E,250
08992,Thanh Lâm,Xã,21 12 22N, 105 43 22E,250
08995,Tam Đồng,Xã,21 11 52N, 105 41 13E,250
08998,Liên Mạc,Xã,21 11 29N, 105 39 10E,250
09001,Vạn Yên,Xã,21 12 08N, 106 37 31E,250
09004,Chu Phan,Xã,21 10 08N, 105 39 21E,250
09007,Tiến Thịnh,Xã,21 10 33N, 105 38 05E,250
09010,Mê Linh,Xã,21 09 50N, 105 44 11E,250
09013,Văn Khê,Xã,21 09 41N, 105 42 31E,250
09016,Hoàng Kim,Xã,21 09 46N, 105 41 10E,250
09019,Tiền Phong,Xã,21 09 23N, 105 45 24E,250
09022,Tráng Việt,Xã,21 08 29N, 105 43 58E,250
09619,Tây Đằng,Thị Trấn,21 12 23N, 105 25 29E,271
09625,Phú Cường,Xã,21 17 18N, 105 24 22E,271
09628,Cổ Đô,Xã,21 17 06N, 105 22 02E,271
09631,Tản Hồng,Xã,21 16 26N, 105 25 02E,271
09634,Vạn Thắng,Xã,21 15 23N, 105 23 35E,271
09637,Châu Sơn,Xã,21 15 48N, 105 25 30E,271
09640,Phong Vân,Xã,21 15 29N, 105 21 40E,271
09643,Phú Đông,Xã,21 15 22N, 105 22 32E,271
09646,Phú Phương,Xã,21 14 55N, 105 25 28E,271
09649,Phú Châu,Xã,21 14 02N, 105 24 41E,271
09652,Thái Hòa,Xã,21 14 00N, 105 21 01E,271
09655,Đồng Thái,Xã,21 13 44N, 105 23 53E,271
09658,Phú Sơn,Xã,21 12 49N, 105 21 41E,271
09661,Minh Châu,Xã,21 12 05N, 105 27 07E,271
09664,Vật Lại,Xã,21 11 47N, 105 23 39E,271
09667,Chu Minh,Xã,21 11 55N, 105 26 23E,271
09670,Tòng Bạt,Xã,21 11 37N, 105 19 50E,271
09673,Cẩm Lĩnh,Xã,21 10 21N, 105 21 20E,271
09676,Sơn Đà,Xã,21 10 26N, 105 18 52E,271
09679,Đông Quang,Xã,21 10 57N, 105 27 05E,271
09682,Tiên Phong,Xã,21 10 27N, 105 25 25E,271
09685,Thụy An,Xã,21 09 34N, 105 24 15E,271
09688,Cam Thượng,Xã,21 09 44N, 105 27 09E,271
09691,Thuần Mỹ,Xã,21 08 38N, 105 18 21E,271
09694,Tản Lĩnh,Xã,21 07 14N, 105 23 56E,271
09697,Ba Trại,Xã,21 07 25N, 105 20 48E,271
09700,Minh Quang,Xã,21 04 44N, 105 19 26E,271
09703,Ba Vì,Xã,21 04 29N, 105 21 07E,271
09706,Vân Hòa,Xã,20 03 57N, 105 24 33E,271
09709,Yên Bài,Xã,21 02 38N, 105 25 36E,271
09712,Khánh Thượng,Xã,21 01 45N, 105 20 21E,271
09715,Phúc Thọ,Thị Trấn,21 06 31N, 105 32 13E,272
09718,Vân Hà,Xã,21 09 40N, 105 37 11E,272
09721,Vân Phúc,Xã,21 09 15N, 105 35 17E,272
09724,Vân Nam,Xã,21 09 00N, 105 36 29E,272
09727,Xuân Phú,Xã,21 08 42N, 105 35 05E,272
09730,Phương Độ,Xã,21 08 54N, 105 32 09E,272
09733,Sen Chiểu,Xã,21 08 37N, 105 31 48E,272
09736,Cẩm Đình,Xã,21 09 02N, 105 33 23E,272
09739,Võng Xuyên,Xã,21 08 00N, 105 33 15E,272
09742,Thọ Lộc,Xã,21 07 20N, 105 31 44E,272
09745,Long Xuyên,Xã,21 07 26N, 105 34 37E,272
09748,Thượng Cốc,Xã,21 07 38N, 105 35 52E,272
09751,Hát Môn,Xã,21 07 35N, 105 36 57E,272
09754,Tích Giang,Xã,21 06 48N, 105 30 46E,272
09757,Thanh Đa,Xã,21 06 36N, 105 37 12E,272
09760,Trạch Mỹ Lộc,Xã,21 06 11N, 105 31 28E,272
09763,Phúc Hòa,Xã,21 06 37N, 105 33 27E,272
09766,Ngọc Tảo,Xã,21 06 01N, 105 36 06E,272
09769,Phụng Thượng,Xã,21 05 36N, 105 34 53E,272
09772,Tam Thuấn,Xã,21 05 51N, 105 37 18E,272
09775,Tam Hiệp,Xã,21 04 53N, 105 36 36E,272
09778,Hiệp Thuận,Xã,21 04 28N, 105 38 21E,272
09781,Liên Hiệp,Xã,20 03 17N, 105 38 18E,272
09784,Phùng,Thị Trấn,21 05 16N, 105 39 59E,273
09787,Trung Châu,Xã,20 09 09N, 105 37 52E,273
09790,Thọ An,Xã,21 08 08N, 105 38 11E,273
09793,Thọ Xuân,Xã,21 07 59N, 105 38 58E,273
09796,Hồng Hà,Xã,21 07 55N, 105 40 50E,273
09799,Liên Hồng,Xã,21 07 34N, 105 42 19E,273
09802,Liên Hà,Xã,21 07 07N, 105 42 56E,273
09805,Hạ Mỗ,Xã,21 06 48N, 105 41 12E,273
09808,Liên Trung,Xã,21 06 41N, 105 43 31E,273
09811,Phương Đình,Xã,21 06 32N, 105 38 50E,273
09814,Thượng Mỗ,Xã,21 06 34N, 105 40 26E,273
09817,Tân Hội,Xã,21 05 50N, 105 42 10E,273
09820,Tân Lập,Xã,21 05 10N, 105 42 37E,273
09823,Đan Phượng,Xã,21 05 55N, 105 39 57E,273
09826,Đồng Tháp,Xã,21 05 04N, 105 39 04E,273
09829,Song Phượng,Xã,21 04 35N, 105 40 00E,273
09832,Trạm Trôi,Thị Trấn,21 04 07N, 105 42 26E,274
09835,Đức Thượng,Xã,21 04 33N, 105 41 11E,274
09838,Minh Khai,Xã,21 04 04N, 105 40 15E,274
09841,Dương Liễu,Xã,21 03 39N, 105 39 57E,274
09844,Di Trạch,Xã,21 02 46N, 105 43 06E,274
09847,Đức Giang,Xã,21 03 46N, 105 41 57E,274
09850,Cát Quế,Xã,21 02 55N, 105 40 08E,274
09853,Kim Chung,Xã,21 03 13N, 105 42 26E,274
09856,Yên Sở,Xã,21 02 29N, 105 40 14E,274
09859,Sơn Đồng,Xã,21 02 28N, 105 41 57E,274
09862,Vân Canh,Xã,21 01 49N, 105 43 34E,274
09865,Đắc Sở,Xã,21 01 53N, 105 40 39E,274
09868,Lại Yên,Xã,21 01 34N, 105 42 34E,274
09871,Tiền Yên,Xã,21 01 18N, 105 40 56E,274
09874,Song Phương,Xã,21 00 54N, 105 41 27E,274
09877,An Khánh,Xã,21 00 02N, 105 43 07E,274
09880,An Thượng,Xã,20 59 29N, 105 41 40E,274
09883,Vân Côn,Xã,20 59 25N, 105 40 39E,274
09889,La Phù,Xã,20 58 48N, 105 43 46E,274
09892,Đông La,Xã,20 58 07N, 105 43 25E,274
09895,Quốc Oai,Thị Trấn,20 59 49N, 105 38 38E,275
09898,Sài Sơn,Xã,20 01 42N, 105 38 49E,275
09901,Phượng Cách,Xã,20 00 59N, 105 39 16E,275
09904,Yên Sơn,Xã,20 59 50N, 105 39 38E,275
09907,Ngọc Liệp,Xã,20 59 59N, 105 35 48E,275
09910,Ngọc Mỹ,Xã,20 59 19N, 105 37 14E,275
09913,Liệp Tuyết,Xã,20 58 47N, 105 35 48E,275
09916,Thạch Thán,Xã,20 58 59N, 105 38 03E,275
09919,Đồng Quang,Xã,20 58 17N, 105 39 08E,275
09922,Phú Cát,Xã,20 58 25N, 105 33 14E,275
09925,Tuyết Nghĩa,Xã,20 58 19N, 105 35 04E,275
09928,Nghĩa Hương,Xã,20 58 28N, 105 36 44E,275
09931,Cộng Hòa,Xã,20 58 03N, 105 39 56E,275
09934,Tân Phú,Xã,20 58 03N, 105 41 37E,275
09937,Đại Thành,Xã,20 57 50N, 105 42 42E,275
04939,Đông Xuân,Xã,20 57 19N, 105 30 10E,275
09940,Phú Mãn,Xã,20 56 57N, 105 31 09E,275
09943,Cấn Hữu,Xã,20 57 17N, 105 36 41E,275
09946,Tân Hòa,Xã,20 57 53N, 105 40 28E,275
09949,Hòa Thạch,Xã,20 56 39N, 105 33 38E,275
09952,Đông Yên,Xã,20 55 46N, 105 35 06E,275
09955,Liên Quan,Thị Trấn,21 03 20N, 105 34 32E,276
09958,Đại Đồng,Xã,21 05 24N, 105 33 43E,276
09961,Cẩm Yên,Xã,21 05 14N, 105 32 15E,276
09964,Lại Thượng,Xã,21 04 08N, 105 32 53E,276
09967,Phú Kim,Xã,21 04 12N, 105 34 31E,276
09970,Hương Ngải,Xã,21 30 40N, 105 34 44E,276
09973,Canh Nậu,Xã,21 03 21N, 105 36 51E,276
09976,Kim Quan,Xã,21 02 38N, 105 34 27E,276
09979,Dị Nậu,Xã,21 02 56N, 105 37 26E,276
09982,Bình Yên,Xã,21 02 33N, 105 32 17E,276
09985,Chàng Sơn,Xã,21 02 24N, 105 35 47E,276
09988,Thạch Hoà,Xã,21 00 23N, 105 30 22E,276
09991,Cần Kiệm,Xã,21 01 16N, 105 34 32E,276
09994,Hữu Bằng,Xã,21 01 48N, 105 36 58E,276
09997,Phùng Xá,Xã,21 01 15N, 105 37 25E,276
10000,Tân Xã,Xã,21 01 06N, 105 32 35E,276
10003,Thạch Xá,Xã,21 02 00N, 105 35 53E,276
10006,Bình Phú,Xã,21 01 02N, 105 36 16E,276
10009,Hạ Bằng,Xã,21 00 24N, 105 33 14E,276
10012,Đồng Trúc,Xã,20 59 37N, 105 33 59E,276
04927,Yên Trung,Xã,20 59 39N, 105 25 44E,276
04930,Yên Bình,Xã,20 59 22N, 105 27 28E,276
04936,Tiến Xuân,Xã,20 58 41N, 105 28 48E,276
10015,Chúc Sơn,Thị Trấn,20 55 13N, 105 42 38E,277
10018,Xuân Mai,Thị Trấn,20 53 51N, 105 34 07E,277
10021,Phụng Châu,Xã,20 56 43N, 105 42 19E,277
10024,Tiên Phương,Xã,20 56 30N, 105 40 48E,277
10027,Đông Sơn,Xã,20 55 56N, 105 37 10E,277
10030,Đông Phương Yên,Xã,20 55 49N, 105 38 08E,277
10033,Phú Nghĩa,Xã,20 56 00N, 105 39 29E,277
10039,Trường Yên,Xã,20 54 50N, 105 39 26E,277
10042,Ngọc Hòa,Xã,20 54 56N, 105 41 08E,277
10045,Thủy Xuân Tiên,Xã,20 53 10N, 105 35 04E,277
10048,Thanh Bình,Xã,20 54 08N, 105 37 26E,277
10051,Trung Hòa,Xã,20 53 51N, 105 38 58E,277
10054,Đại Yên,Xã,20 53 57N, 105 41 12E,277
10057,Thụy Hương,Xã,20 54 30N, 105 42 57E,277
10060,Tốt Động,Xã,20 52 54N, 105 40 01E,277
10063,Lam Điền,Xã,20 53 12N, 105 43 05E,277
